,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
0,1,Walmart,"$559,151",0.067,"$13,510",-0.092,"$252,496","$382,642.8",-,2300000,-,20
1,2,Amazon,"$386,064",0.376,"$21,331",0.841,"$321,195","$1,558,069.6",-,1298000,-,11
2,3,Apple,"$274,515",0.055,"$57,411",0.039,"$323,888","$2,050,665.9",1,147000,1,188
3,4,CVS Health,"$268,706",0.046,"$7,179",0.082,"$230,715","$98,653.2",1,256500,1,57
4,5,UnitedHealth Group,"$257,141",0.062,"$15,403",0.113,"$197,289","$351,725",2,330000,2,25
5,6,Berkshire Hathaway,"$245,510",-0.036,"$42,521",-0.478,"$873,729","$587,823",-,360000,-,-
6,7,McKesson,"$231,051",0.078,$900,25.471,"$61,247","$31,044",1,70000,1,205
7,8,AmerisourceBergen,"$189,893.9",0.057,"$-3,408.7",-4.985,"$44,274.8","$24,169.7",2,21500,2,120
8,9,Alphabet,"$182,527",0.128,"$40,269",0.173,"$319,616","$1,392,561.8",2,135301,2,215
9,10,Exxon Mobil,"$181,502",-0.315,"$-22,440",-2.565,"$332,750","$236,355.4",-7,72000,-7,327
10,11,AT&T,"$171,760",-0.052,"$-5,176",-1.372,"$525,761","$215,878.5",-2,230760,-2,26
11,12,Costco Wholesale,"$166,761",0.092,"$4,002",0.094,"$55,556","$155,984.3",2,214500,2,123
12,13,Cigna,"$160,401",0.045,"$8,458",0.657,"$155,451","$83,976.1",-,72963,-,179
13,14,Cardinal Health,"$152,922",0.051,"$-3,696",-3.712,"$40,766","$17,840.3",2,48000,2,64
14,15,Microsoft,"$143,015",0.136,"$44,281",0.128,"$301,311","$1,778,228.2",6,163000,6,1
15,16,Walgreens Boots Alliance,"$139,537",0.02,$456,-0.885,"$87,174","$47,455.3",3,277000,3,19
16,17,Kroger,"$132,498",0.084,"$2,585",0.558,"$48,662","$27,064.3",6,465000,6,190
17,18,Home Depot,"$132,110",0.199,"$12,866",0.144,"$70,581","$328,775.4",8,504800,8,66
18,19,JPMorgan Chase,"$129,503",-0.091,"$29,131",-0.2,"$3,386,071","$464,530.8",-2,255351,-2,54
19,20,Verizon Communications,"$128,292",-0.027,"$17,801",-0.076,"$316,481","$240,633.3",-,132200,-,7
20,21,Ford Motor,"$127,144",-0.184,"$-1,279",-28.213,"$267,261","$48,739",-9,186000,-9,207
21,22,General Motors,"$122,485",-0.107,"$6,427",-0.045,"$235,194","$82,794.9",-4,155000,-4,156
22,23,Anthem,"$121,867",0.169,"$4,572",-0.049,"$86,615","$87,908.9",6,83400,6,18
23,24,Centene,"$111,115",0.489,"$1,808",0.369,"$68,719","$37,169.6",18,71300,18,2
24,25,Fannie Mae,"$106,437",-0.115,"$11,805",-0.166,"$3,985,749","$2,397.2",-1,7700,-1,343
25,26,Comcast,"$103,564",-0.049,"$10,534",-0.193,"$273,869","$247,859.3",2,168000,2,88
26,27,Chevron,"$94,692",-0.354,"$-5,543",-2.896,"$239,790","$201,865",-12,47736,-12,56
27,28,Dell Technologies,"$94,224",0.022,"$3,250",-0.296,"$123,415","$67,229.1",6,158000,6,142
28,29,Bank of America,"$93,753",-0.175,"$17,894",-0.348,"$2,819,627","$333,788.4",-4,212505,-4,10
29,30,Target,"$93,561",0.198,"$4,368",0.331,"$51,248","$98,760.9",7,409000,7,3
30,31,Lowe's,"$89,597",0.242,"$5,835",0.363,"$46,735","$136,407.9",13,280000,13,175
31,32,Marathon Petroleum,"$88,952",-0.287,"$-9,826",-4.726,"$85,158","$34,873.8",-10,57900,-10,181
32,33,Citigroup,"$88,839",-0.141,"$11,047",-0.431,"$2,260,090","$151,806.4",-2,210153,-2,17
33,34,Meta Platforms,"$85,965",0.216,"$29,146",0.577,"$159,316","$838,724.2",12,58604,12,44
34,35,United Parcel Service,"$84,628",0.142,"$1,343",-0.698,"$62,408","$147,791.6",8,408255,8,105
35,36,Johnson & Johnson,"$82,584",0.006,"$14,714",-0.027,"$174,894","$432,685.3",-1,134500,-1,51
